id,property
"%%800","AntiVirus"
"%%801","AntiSpyware"
"%%802","Antimalware"
"%%803","Full"
"%%804","Delta"
"%%805","Full Scan"
"%%806","Quick Scan"
"%%807","Custom Scan"
"%%809","Quarantine"
"%%812","Unknown"
"%%813","Suspended"
"%%814",""
"%%818","Real-Time Protection"
"%%819","Downloads and attachments"
"%%820","System"
"%%821","Heuristics"
"%%822","Concrete"
"%%823","Dynamic Signature"
"%%827","Microsoft Windows Defender"
"%%832",
"%%844","Unknown"
"%%845","Local machine"
"%%846","Network share"
"%%847","Internet"
"%%848","Incoming traffic"
"%%849","Outgoing traffic"
"%%851","Microsoft Malware Protection Center"
"%%852",""
"%%853",""
"%%854",""
"%%859",""
"%%863","Signature update"
"%%869",""
"%%870","Duration"
"%%886","Network Inspection System"
"%%887","Not Applicable"
"%%901",""
